Date,Bitcoin,Dogecoin,Etherium
2021-08-01,39974.89453125,0.2044370025396347,2561.85205078125
2021-08-02,39201.9453125,0.2036000043153762,2610.1533203125
2021-08-03,38152.98046875,0.1959670037031173,2502.349609375
2021-08-04,39747.50390625,0.2014899998903274,2724.619873046875
2021-08-05,40869.5546875,0.2009740024805069,2827.328857421875
2021-08-06,42816.5,0.2046879976987838,2890.941650390625
2021-08-07,44555.80078125,0.2603409886360168,3157.23876953125
2021-08-08,43798.1171875,0.2400449961423874,3013.732666015625
2021-08-09,46365.40234375,0.2568970024585724,3167.856201171875
2021-08-10,45585.03125,0.2573249936103821,3141.691162109375
2021-08-11,45593.63671875,0.2652629911899566,3164.2451171875
2021-08-12,44428.2890625,0.2639209926128387,3043.414306640625
2021-08-13,47793.3203125,0.2868080139160156,3322.211669921875
2021-08-14,47096.9453125,0.2931129932403564,3265.443359375
2021-08-15,47047.00390625,0.3414410054683685,3310.504150390625
2021-08-16,46004.484375,0.3207150101661682,3156.509521484375
2021-08-17,44695.359375,0.2994419932365417,3014.845947265625
2021-08-18,44801.1875,0.3037390112876892,3020.08984375
2021-08-19,46717.578125,0.3171440064907074,3182.7021484375
2021-08-20,49339.17578125,0.3274909853935241,3286.935302734375
2021-08-21,48905.4921875,0.3167969882488251,3226.083984375
2021-08-22,49321.65234375,0.3149630129337311,3242.115478515625
2021-08-23,49546.1484375,0.3179140090942383,3319.25732421875
2021-08-24,47706.1171875,0.2887389957904815,3172.456298828125
2021-08-25,48960.7890625,0.2922259867191314,3224.915283203125
2021-08-26,46942.21875,0.2689090073108673,3100.325439453125
2021-08-27,49058.66796875,0.2944329977035522,3270.600830078125
2021-08-28,48902.40234375,0.285629004240036,3244.4033203125
2021-08-29,48829.83203125,0.281125009059906,3227.002685546875
2021-08-30,47054.984375,0.2721250057220459,3224.374267578125
2021-08-31,47166.6875,0.27845299243927,3433.732666015625
2021-09-01,48847.02734375,0.2944009900093078,3834.828125
2021-09-02,49327.72265625,0.2959550023078918,3790.989990234375
2021-09-03,50025.375,0.2962729930877685,3940.61474609375
2021-09-04,49944.625,0.2993879914283752,3887.828369140625
2021-09-05,51753.41015625,0.3145270049571991,3952.133544921875
2021-09-06,52633.53515625,0.3087649941444397,3928.37939453125
2021-09-07,46811.12890625,0.2537440061569214,3426.394287109375
2021-09-08,46091.390625,0.2571130096912384,3497.315185546875
2021-09-09,46391.421875,0.252595990896225,3427.340087890625
2021-09-10,44883.91015625,0.2399819940328598,3211.505859375
2021-09-11,45201.45703125,0.2414319962263107,3270.278076171875
2021-09-12,46063.26953125,0.2506169974803924,3410.134521484375
2021-09-13,44963.07421875,0.2359060049057006,3285.51171875
2021-09-14,47092.4921875,0.2407090067863464,3429.169677734375
2021-09-15,48176.34765625,0.2476969957351684,3615.28271484375
2021-09-16,47783.359375,0.2425550073385238,3571.294921875
2021-09-17,47267.51953125,0.2399300038814544,3398.538818359375
2021-09-18,48278.36328125,0.2413859963417053,3432.018310546875
2021-09-19,47260.21875,0.233142003417015,3329.447998046875
2021-09-20,42843.80078125,0.2070710062980651,2958.993408203125
2021-09-21,40693.67578125,0.2010270059108734,2764.43115234375
2021-09-22,43574.5078125,0.2248580008745193,3077.867919921875
2021-09-23,44895.09765625,0.224831998348236,3155.523681640625
2021-09-24,42839.75,0.2094510048627853,2931.669189453125
2021-09-25,42716.59375,0.208639994263649,2925.565673828125
2021-09-26,43208.5390625,0.2049620002508163,3062.265380859375
2021-09-27,42235.73046875,0.2002619951963424,2934.138916015625
2021-09-28,41034.54296875,0.1968040019273758,2807.296630859375
2021-09-29,41564.36328125,0.1988759934902191,2853.143310546875
2021-09-30,43790.89453125,0.204244002699852,3001.678955078125
2021-10-01,48116.94140625,0.2230100035667419,3307.51611328125
2021-10-02,47711.48828125,0.2191330045461654,3391.6943359375
2021-10-03,48199.953125,0.2217479944229126,3418.358642578125
2021-10-04,49112.90234375,0.2408519983291626,3380.089111328125
2021-10-05,51514.8125,0.252016007900238,3518.5185546875
2021-10-06,55361.44921875,0.2551339864730835,3580.56201171875
